"","name","city","postalcode","address","url","long","lat"
"6309","Kirche","Ostseebad Binz","18609","Klünderberg 2","https://www.ticketmaster.de/venue/kirche-ostseebad-binz-tickets/bizkirche/701","13.61526","54.39674"
"6310","Jagdschloss Granitz","Ostseebad Binz","18609",NA,"https://www.ticketmaster.de/venue/jagdschloss-granitz-ostseebad-binz-tickets/bizjagdsch/701","13.62726","54.38064"
"6311","Festung Dömitz","Dömitz","19303","Auf der Festung 3","https://www.ticketmaster.de/venue/festung-domitz-domitz-tickets/dozfestung/701","11.24605","53.14156"
"6312","Schlossplatz","Ludwigslust","19288",NA,"https://www.ticketmaster.de/venue/schlossplatz-ludwigslust-tickets/lulschlosp/701","11.48826","53.3244"
"6313","Stadtkirche","Ludwigslust","19288","Kanalstraße 12","https://www.ticketmaster.de/venue/stadtkirche-ludwigslust-tickets/lulstadtki/701","11.49435","53.32596"
"6314","Freilichtbühne Wieck","Born auf dem Darß","18375","Prerower Straße","https://www.ticketmaster.de/venue/freilichtbuhne-wieck-born-auf-dem-darss-tickets/wicfreilic/701","12.57934","54.41835"
"6315","Freilichtbühne","Born auf dem Darß","18375","Chausseestraße 64","https://www.ticketmaster.de/venue/freilichtbuhne-born-auf-dem-darss-tickets/borfreilic/701","12.53202","54.38617"
"6316","Ostseebad","Dierhagen","18347","Strandaufgang 10 / Am Windrad","https://www.ticketmaster.de/venue/ostseebad-dierhagen-tickets/wusostseeb/701","12.36056","54.29139"
"6317","Festwiese","Born auf dem Darß","18375",NA,"https://www.ticketmaster.de/venue/festwiese-born-auf-dem-darss-tickets/borfestwie/701","12.531407","54.386342"
"6318","Open Air Gelände","Wustrow","18347","Darß/Fischland","https://www.ticketmaster.de/venue/open-air-gelande-wustrow-tickets/wusopenair/701","12.39627","54.34869"
"6319","Bürgerhaus","Güstrow","18273","Sonnenplatz 1","https://www.ticketmaster.de/venue/burgerhaus-gustrow-tickets/grwbuerger/701","12.18954","53.80316"
"6320","Stiftskirche","Baumgarten","18246","Kirchhof","https://www.ticketmaster.de/venue/stiftskirche-baumgarten-tickets/buzstiftsk/701","11.87767","53.81206"
"6321","Hamburger Sprechwerk (kleine Pro","Hamburg","20535","Klaus-Groth-Straße 23","https://www.ticketmaster.de/venue/hamburger-sprechwerk-kleine-pro-hamburg-tickets/hamsprechp/701","10.02977","53.55588"
"6322","VLF","Hamburg","20535","Sievekingsallee 69a","https://www.ticketmaster.de/venue/vlf-hamburg-tickets/hamvlf/701","10.05666","53.56104"
"6323","Anleger d. Maritimen-Circle-Line","Hamburg","20457","Traditionschiffhafen in der Hafencity","https://www.ticketmaster.de/venue/anleger-d-maritimen-circle-line-hamburg-tickets/hammaritim/701","9.99133","53.54249"
